sku,name,groupId,unitCost,sellingPrice,minStock,description,imageUrl,vendorCode,itemVendorCode,buyPrice,buyCurrency
HY2,Scrubber with cable,automatic-scrubber,"8,736","12,230",2,"Packing size: 1050 X 610 X 1190 mm; Width Of Suction Head: 760mm; Working Width: 457mm; Brush Diameter: 18""; Washing Brush Pressure: 25kg; Voltage: 220VAC/50HZ; Washing Brush Power: 1200W; Suction Motor Power: 400W; Clean Water Tank Volume: 30L; Sewage Tank Volume: 30L",,CB,HY2,3.12,RMB
SA500C,Manual scrubber with cable  Cleaning width: 530mm,automatic-scrubber,"11,214,000","15,699,600",2,,,CB,SA500C,630,USD
SA500B,Manual scrubber with battery  Cleaning width: 530mm,automatic-scrubber,"13,528,000","18,939,200",2,,,CB,SA500B,760,USD
SA530,Manual scrubber with battery  Cleaning width: 530mm,automatic-scrubber,"14,240,000","19,936,000",2,,,CB,SA530,800,USD
SA530B,Automatic scrubber with battery-self working  Cleaning width: 530mm,automatic-scrubber,"19,580","27,412",2,,,CB,SA530B,1.1,USD
SA600,Ride-on single brush scrubber  Cleaning width: 600mm,automatic-scrubber,"22,784","31,898",2,,,CB,SA600,1.28,USD
SA660,Ride-on double brush scrubber  Cleaning width: 660mm,automatic-scrubber,"26,878","37,629",2,,,CB,SA660,1.51,USD
SA860,Ride-on double brush scrubber  Cleaning width: 860mm,automatic-scrubber,"44,856","62,798",2,,,CB,SA860,2.52,USD
JK7,"Ride-on Scrubber (17""double brush )Rear-driven high configuration",automatic-scrubber,"68,068","95,295",2,,,JPET,TC180-K7,24.31,RMB
JK8,"Ride-on Scrubber (15""double brush )Rear-driven high configuration",automatic-scrubber,"56,056","78,478",2,,,JPET,TC140-K8H,20.02,RMB
JK6,Ride-on Scrubber (double brush ) 13inch *2 ( HIGHT configuration )Rear-driven,automatic-scrubber,"46,060","64,484",2,Voltage: 24V; Cleaning width: 760mm; Squeegee width: 1020mm; Productivity: 4200m²/h; Walking Speed: 0-9km/h; Driving motor: 650W; Lifting motor: 2*800W; Brush motor: 2*300W; Brush speed: 180rpm; Brush pressure: 28kg; Vacuum motor: 500W; Vacuum degree: 180mbar; Solution tank: 100L; Recovery tank: 105L; Sound level: 63dB; Battery: 2*12V/120Ah; Running time: 3~4 hours; Net weight: 262kgs; Gross weight: 334kgs; Product size: 1300*920*1274mm; Packing size: 1390*830*1375mm,,JPET,TC105-K6,16.45,RMB
JK1,AUTO Scrubber with Gel battery and charger ( HIGH configuration ),automatic-scrubber,"18,424","25,794",2,,,JPET,TC55-K1,6.58,RMB
SC50C,"auto scrubber with cable (220V,50Hz)",automatic-scrubber,"12,348","17,287",2,,,JPET,SC50C,4.41,RMB
TC20C,"auto scrubber with cable (220V,50Hz)",automatic-scrubber,"7,840","10,976",2,,,JPET,TC20C,2.8,RMB
Y66B,Ride On Scrubber,automatic-scrubber,"40,940","57,316",2,,,STL,Y66B,2.3,USD
SK1,Walk Behind Autoscrubber ( Battery ),automatic-scrubber,"16,910,000","23,674,000",2,,,STL,k1,950,USD
A-056A-6CB,36MM LONG FLAT VACUUMING HEAD,Sparepart-vacuum-cleaner,"16,660","23,324",2,,,CB,A-056A-6,5.95,RMB
A-056A-6ST,?36 Long flat vacuuming head,Sparepart-vacuum-cleaner,"15,130","21,182",2,,,CB,A-056A-6,0.85,USD
CB-900E,"3 Speed blower, plastic fan  yellow cable",blower,"1,246,000","1,744,400",2,,,CB,CB-900E,445,RMB
SC-900,3-Speed Blower(220V 50Hz 900W) PLASTIC GEAR,blower,"1,260,000","1,764,000",2,,,JPET,SC-900,450,RMB
HY31,Carpet Extraction Machine(220V),extractor,"11,620","16,268",2,packing size: 1110×550×945mm; net weight: 46.2kg; gross weight: 65kg; clean water tank capacity: 21L; dirty water tank capacity: 38L; voltage/frequency: 220V~/50Hz; rolling brush speed: 1400rpm; rolling brush motor: 180w; rolling brush width: 400mm; Suaion motor: 1000W X 2; water sucker: 460mm; suction: 34 kpa; air volume: 335m³/h; water pumps: 110W; water pressure: 30PSL,,CB,HY31,4.15,RMB
HY1500C,High speed polisher,floor-machine,"5,096","7,134",2,"power: 1800W; brush diameter: 20""; voltage/frequency: 220V-50Hz; speed: 1500rpm",,CB,HY1500C,1.82,RMB
